Item;Código;Descrição;Len;Livres;Alimentos;Alimentos in natura;Alimentos semi-elaborados;Alimentos industrializados;Serviços;Serviços - Subjacente;Serviços - Ex-Subjacente;Duráveis;Semi-duráveis;Não duráveis;Monitorados;Não comercializáveis;Comercializáveis;Núcleo EX0;Núcleo EX1;Núcleo EX2;Núcleo EX3;Bens Industriais;Ex AD e Monitorados;Subjacentes Ex AF;Sensíveis ao Ciclo;Bens Industriais Ex Vestuario e Auto;Combustíveis;Monitorados Ex Combustíveis;Automóveis;Sticky-prices
1106001.Banana-da-terra;1106001;Banana-da-terra;7;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1106003.Abacaxi;1106003;Abacaxi;7;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1106004.Abacate;1106004;Abacate;7;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1106005.Banana - d'água;1106005;Banana - d'água;7;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1106006.Banana - maçã;1106006;Banana - maçã;7;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1106008.Banana - prata;1106008;Banana - prata;7;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1106011.Laranja - baía;1106011;Laranja - baía;7;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1106012.Laranja - lima;1106012;Laranja - lima;7;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1106015.Limão;1106015;Limão;7;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1106017.Maçã;1106017;Maçã;7;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1106018.Mamão;1106018;Mamão;7;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1106019.Manga;1106019;Manga;7;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1106020.Maracujá;1106020;Maracujá;7;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1106021.Melancia;1106021;Melancia;7;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1106022.Melão;1106022;Melão;7;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1106023.Pera;1106023;Pera;7;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1106027.Tangerina;1106027;Tangerina;7;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1106028.Uva;1106028;Uva;7;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1106039.Laranja - pera;1106039;Laranja - pera;7;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1106051.Morango;1106051;Morango;7;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1106084.Goiaba;1106084;Goiaba;7;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1107.Carnes;1107;Carnes;4;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1107009.Fígado;1107009;Fígado;7;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1107018.Carne de porco;1107018;Carne de porco;7;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1107031.Carne de carneiro;1107031;Carne de carneiro;7;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1107081.Cupim;1107081;Cupim;7;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1107084.Contrafilé;1107084;Contrafilé;7;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1107085.Filé-mignon;1107085;Filé-mignon;7;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1107087.Chã de dentro;1107087;Chã de dentro;7;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1107088.Alcatra;1107088;Alcatra;7;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1107089.Patinho;1107089;Patinho;7;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1107090.Lagarto redondo;1107090;Lagarto redondo;7;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1107091.Lagarto comum;1107091;Lagarto comum;7;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1107093.Músculo;1107093;Músculo;7;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1107094.Pá;1107094;Pá;7;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1107095.Acém;1107095;Acém;7;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1107096.Peito;1107096;Peito;7;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1107097.Capa de filé;1107097;Capa de filé;7;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1107099.Costela;1107099;Costela;7;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1107208.Picanha;1107208;Picanha;7;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1108.Pescados;1108;Pescados;4;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1108002.Peixe - anchova;1108002;Peixe - anchova;7;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1108004.Peixe - corvina;1108004;Peixe - corvina;7;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1108011.Peixe - tainha;1108011;Peixe - tainha;7;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1108012.Peixe - sardinha;1108012;Peixe - sardinha;7;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1108013.Camarão;1108013;Camarão;7;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1108019.Peixe - cavala;1108019;Peixe - cavala;7;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1108029.Peixe - cação;1108029;Peixe - cação;7;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1108031.Peixe - merluza;1108031;Peixe - merluza;7;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1108032.Peixe - serra;1108032;Peixe - serra;7;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1108038.Peixe - pescada;1108038;Peixe - pescada;7;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1108045.Caranguejo;1108045;Caranguejo;7;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1108049.Peixe - castanha;1108049;Peixe - castanha;7;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1108052.Peixe - palombeta;1108052;Peixe - palombeta;7;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1108072.Peixe - curimatã;1108072;Peixe - curimatã;7;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1108075.Peixe - salmão;1108075;Peixe - salmão;7;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1108080.Peixe - tilápia;1108080;Peixe - tilápia;7;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1108087.Peixe - tambaqui;1108087;Peixe - tambaqui;7;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1108088.Peixe - dourada;1108088;Peixe - dourada;7;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1108092.Peixe - filhote;1108092;Peixe - filhote;7;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1108096.Peixe - peroá;1108096;Peixe - peroá;7;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1108112.Peixe - pintado;1108112;Peixe - pintado;7;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1108125.Peixe - aruanã;1108125;Peixe - aruanã;7;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1109.Carnes e peixes industrializados;1109;Carnes e peixes industrializados;4;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0
1109002.Presunto;1109002;Presunto;7;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0
1109007.Salsicha;1109007;Salsicha;7;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0
1109008.Linguiça;1109008;Linguiça;7;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0
1109010.Mortadela;1109010;Mortadela;7;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0
1109012.Salame;1109012;Salame;7;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0
1109023.Bacalhau;1109023;Bacalhau;7;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0
1109056.Carne-seca e de sol;1109056;Carne-seca e de sol;7;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0
1109058.Carne de porco salgada e defumada;1109058;Carne de porco salgada e defumada;7;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0
1110.Aves e ovos;1110;Aves e ovos;4;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1110009.Frango inteiro;1110009;Frango inteiro;7;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1110010.Frango em pedaços;1110010;Frango em pedaços;7;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1110044.Ovo de galinha;1110044;Ovo de galinha;7;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1111.Leites e derivados;1111;Leites e derivados;4;1;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1111004.Leite longa vida;1111004;Leite longa vida;7;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1111008.Leite condensado;1111008;Leite condensado;7;1;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1111009.Leite em pó;1111009;Leite em pó;7;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1111011.Queijo;1111011;Queijo;7;1;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1111019.Iogurte e bebidas lácteas;1111019;Iogurte e bebidas lácteas;7;1;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
