data;codigo;var_mensal;var_mensal_15
01/01/2020;2;-0.51;0.13
01/02/2020;2;0.87;1.95
01/03/2020;2;0.95;0.95
01/04/2020;2;0.31;0.26
01/05/2020;2;1.43;1.33
01/06/2020;2;1;0.59
01/07/2020;2;1.84;0.35
01/08/2020;2;0.32;-0.51
01/09/2020;2;0.33;0.46
01/10/2020;2;-0.43;-0.26
01/11/2020;2;-0.11;-0.23
01/12/2020;2;0.54;0.88
01/01/2021;2;;
01/02/2021;2;;
01/03/2021;2;-0.1;-0.01
01/04/2021;2;0.87;0.51
01/05/2021;2;0.79;0.54
01/06/2021;2;1.5;1.5
01/07/2021;2;;
01/08/2021;2;-0.07;-0.02
01/09/2021;2;0.23;0.04
01/10/2021;2;;
01/11/2021;2;;
01/12/2021;2;;-2.85
01/01/2022;2;;3.25
01/02/2010;3;0.34;-0.08
01/03/2010;3;0.24;2
01/04/2010;3;3.55;-0.1
01/05/2010;3;-0.11;0.62
01/06/2010;3;-1.46;2.06
01/07/2010;3;1.5;5.52
01/08/2010;3;6.34;6.68
01/09/2010;3;2.45;0.71
01/10/2010;3;-16.96;-3.82
01/11/2010;3;6.22;4.43
01/12/2010;3;-0.23;1.13
01/01/2011;3;1.8;0.7
01/02/2011;3;-1.53;-4.96
01/03/2011;3;-11.9;-3.15
01/04/2011;3;-2.98;3.88
01/05/2011;3;-0.07;1.43
01/06/2011;3;6.34;2.7
01/07/2011;3;3.08;2.69
01/08/2011;3;1.26;-3.87
01/09/2011;3;1.65;-8.97
01/10/2011;3;10.54;16.39
01/11/2011;3;0.68;0.9
01/12/2011;3;-3.33;-0.3
01/01/2012;3;-0.54;0.15
01/02/2012;3;0.27;2.49
01/03/2012;3;3.86;
01/04/2012;3;0.48;-0.17
01/05/2012;3;-0.59;-1.11
01/06/2012;3;6.29;4.61
01/07/2012;3;-1;0.61
01/08/2012;3;5.67;2.94
01/09/2012;3;-5.25;6.64
01/10/2012;3;;
01/11/2012;3;-3.06;-1.01
01/12/2012;3;-2.38;-3.18
01/01/2013;3;;
01/02/2013;3;0.5;0.76
01/03/2013;3;0.96;1.72
01/04/2013;3;0.36;0.61
01/05/2013;3;0.52;1.09
01/06/2013;3;0.57;-0.07
01/07/2013;3;-0.62;-1.4
01/08/2013;3;-0.11;0.52
01/09/2013;3;2.2;1.88
01/10/2013;3;0.19;
01/11/2013;3;-0.18;-0.2
01/12/2013;3;0.33;1.82
01/01/2014;3;-0.1;0.79
01/02/2014;3;-1.6;0.24
01/03/2014;3;0.4;0.46
01/04/2014;3;1.21;1.79
01/05/2014;3;0.59;1.05
01/06/2014;3;2.16;0.55
01/07/2014;3;-0.7;-0.44
01/08/2014;3;1.96;2.44
01/09/2014;3;0.21;0.59
01/10/2014;3;0.52;0.82
01/11/2014;3;0.33;-0.84
01/12/2014;3;1.63;1.59
01/01/2015;3;;
01/02/2015;3;0.25;-0.48
01/03/2015;3;0.46;0.74
01/04/2015;3;0.23;0.01
01/05/2015;3;1.45;0.67
01/06/2015;3;1.62;1.02
01/07/2015;3;-0.97;-0.38
01/08/2015;3;0.67;
01/09/2015;3;-0.32;-0.41
01/10/2015;3;0.28;-0.37
01/11/2015;3;0.37;0.11
01/12/2015;3;;
01/01/2016;3;2.06;0.83
01/02/2016;3;1.08;1.32
01/03/2016;3;0.28;1.51
01/04/2016;3;-0.05;0.63
01/05/2016;3;0.37;0.4
01/06/2016;3;-1.37;-0.02
01/07/2016;3;-0.89;0.04
01/08/2016;3;0.15;0.37
01/09/2016;3;-0.4;0.56
01/10/2016;3;0.47;0.27
01/11/2016;3;0.86;
01/12/2016;3;0.31;0.54
01/01/2017;3;-0.89;1.32
01/02/2017;3;-0.75;0.38
01/03/2017;3;0.31;0.73
01/04/2017;3;-0.51;0.42
01/05/2017;3;-0.29;-0.5
01/06/2017;3;0.46;-3.63
01/07/2017;3;-0.89;1.58
01/08/2017;3;-0.58;-0.26
01/09/2017;3;;
01/10/2017;3;0.15;1.2
01/11/2017;3;0.79;1.18
01/12/2017;3;-1.06;-0.32
01/01/2018;3;0.9;0.77
01/02/2018;3;1.72;0.8
01/03/2018;3;;
01/04/2018;3;3.2;3.14
01/05/2018;3;0.87;0.79
01/06/2018;3;0.18;0.16
01/07/2018;3;;
01/08/2018;3;0.39;0.13
01/09/2018;3;-0.09;0.08
01/10/2018;3;-0.39;-2.14
01/11/2018;3;-0.8;-1.09
01/12/2018;3;4.14;3.15
01/01/2019;3;2.39;0.72
01/02/2019;3;0.46;0.06
01/03/2019;3;0.74;0.04
01/04/2019;3;0.36;-0.51
01/05/2019;3;-1.84;0.19
01/06/2019;3;0.86;0.86
01/07/2019;3;0.34;0.14
01/08/2019;3;1.97;0.7
01/09/2019;3;0.79;0.18
01/10/2019;3;;
01/11/2019;3;-0.19;-0.48
01/12/2019;3;0.29;0.36
01/01/2020;3;0.44;-0.24
01/02/2020;3;3.03;1.18
01/03/2020;3;0.49;0.59
01/04/2020;3;-0.21;-0.03
01/05/2020;3;;0.1
01/06/2020;3;0.52;0.06
01/07/2020;3;;0.16
01/08/2020;3;-0.05;0.52
01/09/2020;3;0.08;0.34
01/10/2020;3;1.46;1.35
01/11/2020;3;0.29;2.3
01/12/2020;3;1.05;0.53
01/01/2021;3;;
01/02/2021;3;;
01/03/2021;3;0.69;0.72
01/04/2021;3;0.07;
01/05/2021;3;-0.15;0.48
01/06/2021;3;0.37;0.36
01/07/2021;3;;
01/08/2021;3;0.09;0.32
01/09/2021;3;;
01/10/2021;3;;
01/11/2021;3;;
01/12/2021;3;;2.56
01/01/2022;3;;
01/02/2010;4;1.74;2
01/03/2010;4;-0.26;-0.06
01/04/2010;4;-4.61;-6.05
01/05/2010;4;-0.24;0.44
01/06/2010;4;0.12;-1.29
01/07/2010;4;-0.27;-0.45
01/08/2010;4;7.22;10.62
01/09/2010;4;14.22;15.25
01/10/2010;4;24.65;15.23
01/11/2010;4;-3.86;-5.78
01/12/2010;4;;
01/01/2011;4;0.69;0.47
01/02/2011;4;-3.9;1.85
01/03/2011;4;4.92;4.82
01/04/2011;4;4.68;2.71
01/05/2011;4;-2.21;-1.45
01/06/2011;4;-3.81;-0.98
01/07/2011;4;-1.69;-0.95
01/08/2011;4;8.9;28.29
01/09/2011;4;-4.47;-1.83
01/10/2011;4;-4.58;-13.48
01/11/2011;4;-0.12;-0.36
01/12/2011;4;0.92;5.19
01/01/2012;4;3.36;2.65
01/02/2012;4;-1.93;-0.93
01/03/2012;4;1.67;
01/04/2012;4;;
01/05/2012;4;0.75;1.69
01/06/2012;4;0.85;0.15
01/07/2012;4;;
01/08/2012;4;-9.6;1
01/09/2012;4;;
01/10/2012;4;;
01/11/2012;4;-1.25;2.53
01/12/2012;4;-5.78;-14.96
01/01/2013;4;;0.11
01/02/2013;4;0.92;-0.26
01/03/2013;4;0.39;0.24
01/04/2013;4;2.94;2.51
01/05/2013;4;1.97;2.44
01/06/2013;4;0.1;1.13
01/07/2013;4;0.36;1.32
01/08/2013;4;1.23;0.76
01/09/2013;4;-1.26;-1.7
01/10/2013;4;-0.89;0.36
01/11/2013;4;0.2;0.08
01/12/2013;4;1.35;1.33
01/01/2014;4;-0.55;-1.09
01/02/2014;4;2.4;0.7
01/03/2014;4;0.65;0.82
01/04/2014;4;;
01/05/2014;4;1.41;1.31
01/06/2014;4;0.46;0.52
01/07/2014;4;0.12;-0.14
01/08/2014;4;0.72;1.48
01/09/2014;4;0.41;0.18
01/10/2014;4;-0.47;-0.15
01/11/2014;4;1.94;1.33
01/12/2014;4;0.36;0.45
01/01/2015;4;0.56;1
01/02/2015;4;-1.68;-0.36
01/03/2015;4;0.82;0.76
01/04/2015;4;-0.97;-0.24
01/05/2015;4;1.63;0.36
01/06/2015;4;1.85;0.87
01/07/2015;4;-0.48;0.32
01/08/2015;4;0.31;0.63
01/09/2015;4;-0.44;-0.62
01/10/2015;4;-1.11;0.64
01/11/2015;4;-0.28;0.14
01/12/2015;4;0.6;0.51
01/01/2016;4;-0.61;-0.07
01/02/2016;4;0.8;0.61
01/03/2016;4;0.13;-0.74
01/04/2016;4;0.81;1.02
01/05/2016;4;1.76;0.16
01/06/2016;4;2.3;-0.11
01/07/2016;4;-0.09;-0.65
