mes_ref,indice,inicio_coleta,fim_coleta,data_divulgacao
2022-04,ipca15,2022-03-17,2022-04-13,2022-04-27
2022-05,ipca15,2022-04-14,2022-05-13,2022-05-24
2022-06,ipca15,2022-05-14,2022-06-13,2022-06-24
2022-07,ipca15,2022-06-14,2022-07-13,2022-07-26
2022-08,ipca15,2022-07-14,2022-08-12,2022-08-24
2022-09,ipca15,2022-08-13,2022-09-14,2022-09-27
2022-10,ipca15,2022-09-15,2022-10-13,2022-10-25
2022-11,ipca15,2022-10-14,2022-11-14,2022-11-24
2022-12,ipca15,2022-11-15,2022-12-13,2022-12-23
2022-01,ipca/inpc,2021-12-29,2022-01-28,2022-02-09
2022-02,ipca/inpc,2022-01-29,2022-02-25,2022-03-11
2022-03,ipca/inpc,2022-02-26,2022-03-30,2022-04-08
2022-04,ipca/inpc,2022-03-31,2022-04-29,2022-05-11
2022-05,ipca/inpc,2022-04-30,2022-05-27,2022-06-09
2022-06,ipca/inpc,2022-05-28,2022-06-29,2022-07-08
2022-07,ipca/inpc,2022-06-30,2022-07-28,2022-08-09
2022-08,ipca/inpc,2022-07-29,2022-08-29,2022-09-09
2022-09,ipca/inpc,2022-08-30,2022-09-28,2022-10-11
2022-10,ipca/inpc,2022-09-29,2022-10-27,2022-11-10
2022-11,ipca/inpc,2022-10-28,2022-11-29,2022-12-09
2022-12,ipca/inpc,2022-11-30,2022-12-27,2023-01-10
